State	StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	Collected.By	X	X.1	Species	Subphylum	Genus	Region
65	California	yHQL435	Curvibasidium cygneicollum	Curvibasidium	Basidiomycota	41.152729,-122.311318	41.152729	-122.311318	Plant	Plant Matter	Fruit	Rose hip	Rosaceae	Pome	NA	Rosa	Rosa californica	California Wildrose	NA	NA	QL#15	b	YHQL_QL#15	10	Castle Crags State Park, CA, 41°9'9.825N X 122°18'40.743W	Bill Vagt	TRUE	yHQL435	Curvibasidium cygneicollum	Basidiomycota	Curvibasidium	West
67	California	yHQL419	Lachancea thermotolerans	Lachancea	Ascomycota	39.467750, -123.156111	39.46775	-123.156111	Miscellaneous	Miscellaneous	Flotsam	NA	NA	NA	NA	NA	NA	NA	NA	Eel river flotsom, stuff caught on tree branch during spring runnoff	QL#27	b	YHQL_QL#27	22	Potter Valley, CA	Harry Iwatsuki	TRUE	yHQL419	Lachancea thermotolerans	Saccharomycotina	Lachancea	West
68	California	yHQL330	Rhodotorula nothofagi	Rhodotorula	Basidiomycota	41.158958,-122.305077	41.158958	-122.305077	Tree	Plant Matter	Needles	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	Moss	NA	QL#17	a	YHQL_QL#17	22	Pacific Crest Trail, CA, 41°9''32.25N X 122°18'18.276	Bill Vagt	TRUE	yHQL330	Rhodotorula nothofagi	Basidiomycota	Rhodotorula	West
69	California	yHQL305	Metschnikowia pulcherrima	Metschnikowia	Ascomycota	39.876949,-123.724678	39.876949	-123.724678	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Quercus	Quercus virginiana	Live Oak	NA	NA	QL#19	a	YHQL_QL#19	30	Rock creek campground, Standish-Hickey State Rec Area, CA 39°52'37.018N X 123°43'28.841W	Bill Vagt	TRUE	yHQL305	Metschnikowia pulcherrima sp. complex	Saccharomycotina	Metschnikowia	West
71	California	yHQL451	Candida sp.	Candida	Ascomycota	37.657021,-119.626228	37.657021	-119.626228	Tree	Fungus	Fungus	NA	NA	NA	NA	Pinus	Pinus contorta	Lodgepole Pine	Fungus	NA	QL#22	d	YHQL_QL#22	10	Yosemite Nat'l Park, CA 37°39'25.274N X 119°37'34.422W	Bill Vagt	TRUE	yHQL451	Candida sp.	Saccharomycotina	Candida	West
74	California	yHQL301	Aureobasidium pullulans	Aureobasidium	Ascomycota	41.152729,-122.311318	41.152729	-122.311318	Plant	Plant Matter	Fruit	Rose hip	Rosaceae	Pome	NA	Rosa	Rosa californica	California Wildrose	NA	NA	QL#15	a	YHQL_QL#15	30	Castle Crags State Park, CA, 41°9'9.825N X 122°18'40.743W	Bill Vagt	TRUE	yHQL301	Aureobasidium pullulans	Pezizomycotina	Aureobasidium	West
75	California	yHQL441	Candida sake	Candida	Ascomycota	39.876949,-123.724678	39.876949	-123.724678	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Quercus	Quercus virginiana	Live Oak	NA	NA	QL#19	b	YHQL_QL#19	10	Rock creek campground, Standish-Hickey State Rec Area, CA 39°52'37.018N X 123°43'28.841W	Bill Vagt	TRUE	yHQL441	Candida sake	Saccharomycotina	Candida	West
76	Florida	yHKB22	Meyerozyma caribbica	Meyerozyma	Ascomycota	26.5276:-82.1948	26.5276	-82.1948	Soil	Soil	Sand	NA	NA	NA	NA	NA	NA	NA	NA	NA	BFF4	a	YHKB_BFF4	30	Captiva, FL	Alison Coffey	TRUE	yHKB22	Meyerozyma caribbica	Saccharomycotina	Meyerozyma	Southeast
77	Georgia	yHQL502	Meyerozyma caribbica	Meyerozyma	Ascomycota	33.947037, -83.360477	33.947037	-83.360477	Plant	Plant Matter	Fruit/Leaves	Berry	Phytolaccaceae	Berry	NA	Phytolacca	Phytolacca americana	Pokeweed	NA	leaves and fruit from pokeweed	KS#297	a	YHQL_KS#297	10	120 milburn ave, athens, GA, 30605	Zasadil	TRUE	yHQL502	Meyerozyma caribbica	Saccharomycotina	Meyerozyma	Southeast
78	Georgia	yHKB7	Kazachstania martiniae	Kazachstania	Ascomycota	34.888:-84.436	34.888	-84.436	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	AK3A	a	YHKB_AK3A	30	Red Top Mountain State Park (Cantersville, VA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB7	Kazachstania martiniae	Saccharomycotina	Kazachstania	Southeast
79	Georgia	yHKB2	Torulaspora delbrueckii	Torulaspora	Ascomycota	34.888:-84.436	34.888	-84.436	Soil	Soil/Plant Matter	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	Wildlife refuge	AK4A	a	YHKB_AK4A	22	Red Top Mountain State Park (Cantersville, GA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB2	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Southeast
80	Georgia	yHKB5	Saccharomyces cerevisiae	Saccharomyces	Ascomycota	34.888:-84.436	34.888	-84.436	Soil	Soil/Plant Matter	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	Wildlife refuge	AK4A	a	YHKB_AK4A	30	Red Top Mountain State Park (Cantersville, GA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB5	Saccharomyces cerevisiae	Saccharomycotina	Saccharomyces	Southeast
81	Georgia	yHKB6	Cyberlindnera saturnus	Cyberlindnera	Ascomycota	34.888:-84.436	34.888	-84.436	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	AK1	b	YHKB_AK1	30	Red Top Mountain State Park (Cantersville, GA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB6	Cyberlindnera saturnus	Saccharomycotina	Cyberlindnera	Southeast
82	Georgia	yHQL466	Torulaspora delbrueckii	Torulaspora	Ascomycota	33.947037, -83.360477	33.947037	-83.360477	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	bark from unidentified hardwood tree	KS#295	a	YHQL_KS#295	10	120 milburn ave, athens, GA, 30605	Zasadil	TRUE	yHQL466	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Southeast
83	Georgia	yHKB3	Kazachstania martiniae	Kazachstania	Ascomycota	34.888:-84.436	34.888	-84.436	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungus	NA	AK3A	b	YHKB_AK3A	30	Red Top Mountain State Park (Cantersville, GA)	Kurt and Anna (Quinn's friends)	TRUE	yHKB3	Kazachstania martiniae	Saccharomycotina	Kazachstania	Southeast
84	Illinois	yHQL370	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Wood	NA	NA	NA	NA	Betula	Betula sp.	Unknown	Lilly of the Valley	birch/assoc w/ lilly of the valley	AS#14	b	YHQL_AS#14	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL370	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces	Ohio Valley
85	Illinois	yHQL355	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Soil	Soil	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	under mulberry	AS#3	b	YHQL_AS#3	30	Chadwick, Illinois	Angela Sheddan	TRUE	yHQL355	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
86	Illinois	yHQL398	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Miscellaneous	Miscellaneous	Wood	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	submerged	AS#9	c	YHQL_AS#9	22	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL398	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
87	Illinois	yHQL348	Hanseniaspora uvarum	Hanseniaspora	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	Prunus	Prunus sp.	Plum	NA	under wild plum	AS#16	a	YHQL_AS#16	22	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL348	Hanseniaspora uvarum	Saccharomycotina	Hanseniaspora	Ohio Valley
88	Illinois	yHQL357	Meyerozyma caribbica	Meyerozyma	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	stump	AS#6	a	YHQL_AS#6	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL357	Meyerozyma caribbica	Saccharomycotina	Meyerozyma	Ohio Valley
89	Illinois	yHRVM172	Cyberlindnera sp.	Cyberlindnera	Ascomycota	42.135106, -87.758928	42.135106	-87.758928	Plant	Soil	Soil	NA	NA	NA	NA	Rudbeckia	Rudbeckia hirta	Black-eyed-Susan	NA	NA	33D4-CS	a	YHRVM_33D4-CS	22	Glencoe, IL	Goose Island CS	TRUE	yHRVM172	Cyberlindnera saturnus	Saccharomycotina	Cyberlindnera	Ohio Valley
90	Illinois	yHKB382	Cystofilobasidium capitatum	Cystofilobasidium	Basidiomycota	41.8089,-88.0112	41.8089	-88.0112	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	NA	NA	NA	NA	NA	DG2	a	YHKB_DG2	4	Downers Grove, IL	Kelly Buh	TRUE	yHKB382	Cystofilobasidium capitatum	Basidiomycota	Cystofilobasidium	Ohio Valley
91	Illinois	yHRVM190	Torulaspora delbrueckii	Torulaspora	Ascomycota	42.034808, -88.292849	42.034808	-88.292849	Tree	Plant Matter	Bark	NA	NA	NA	NA	Salix	Salix sp.	Weeping Willow	NA	NA	21D4-CS	c	YHRVM_21D4-CS	30	Elgin, IL	Goose Island CS	TRUE	yHRVM190	Torulaspora delbrueckii	Saccharomycotina	Torulaspora	Ohio Valley
92	Illinois	yHQL393	Candida ergatensis	Candida	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	stump	AS#6	b	YHQL_AS#6	22	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL393	Scheffersomyces ergatensis	Saccharomycotina	Scheffersomyces	Ohio Valley
93	Illinois	yHKB89	Pichia manshurica	Pichia	Ascomycota	41.795027:-88.021231	41.795027	-88.021231	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	DG3	a	YHKB_DG3	30	Downers Grove, IL (home backyard)	Kelly Buh	TRUE	yHKB89	Pichia manshurica	Saccharomycotina	Pichia	Ohio Valley
94	Illinois	yHQL377	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Plant	Plant Matter	Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	Bird	bird nest	AS#20	a	YHQL_AS#20	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL377	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces	Ohio Valley
95	Illinois	yHQL369	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Wood	NA	NA	NA	NA	Betula	Betula sp.	Unknown	Lilly of the Valley	birch/assoc w/ lilly of the valley	AS#14	a	YHQL_AS#14	30	Chadwick, Illinois-Sheddan property	Angela Sheddan	TRUE	yHQL369	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces	Ohio Valley
