Collection	Number	StrainID							Sample Type	Max Score	Total Score	Query Coverage	Evalue	Max Identity	Accession Number (ITS)	Accession Number (D1D2)			
yHKS	301T	yHKS301T							Bark	818	818	99%	0.0	99%	KM384105	KM408131			
yHAB	218T	yHAB218T							Soil	621	621	100%	1.00E-174	95%	KM384448	KM408121			
yHAB	209	yHAB209							Soil	841	841	97%	0.0	96%	KM384609	KM408140			
yHKS	95	yHKS95							Bark	805	805	96%	0.0	98%	KM384109				
yHAB	225	yHAB225							Raspberries	957	957	99%	0.0	100%	KM384110				
yHKS	20	yHKS20							Bark	958	958	99%	0.0	99%	KM384111				
yHKS	24	yHKS24							 Leaves	951	951	99%	0.0	99%	KM384112				
yHKS	26	yHKS26							 Leaves	949	949	100%	0.0	100%	KM384113				
yHKS	33	yHKS33							Bark	964	964	100%	0.0	99%	KM384114				
yHKS	51	yHKS51							Soil	939	939	100%	0.0	99%	KM384115				
yHKS	75	yHKS75							Bark	957	957	100%	0.0	99%	KM384116				
yHKS	76	yHKS76							 Leaves	829	829	100%	0.0	99%	KM384117				
yHKS	79	yHKS79							 Leaves	949	949	99%	0.0	99%	KM384118				
yHKS	117	yHKS117							Bark	966	966	99%	0.0	99%	KM384119				
yHKS	121	yHKS121							Soil	949	949	100%	0.0	99%	KM384120				
yHKS	125	yHKS125							Soil	865	865	99%	0.0	99%	KM384121				
yHKS	126	yHKS126							Bark	601	601	100%	2.00E-168	98%	KM384122				
yHKS	199	yHKS199							Soil	955	955	99%	0.0	99%	KM384123				
yHKS	202	yHKS202							Soil	962	962	100%	0.0	99%	KM384124				
yHKS	204	yHKS204							Soil	966	966	100%	0.0	99%	KM384125				
yHKS	206	yHKS206							Soil	964	964	99%	0.0	99%	KM384126				
yHKS	209	yHKS209							Bark	964	964	100%	0.0	99%	KM384127				
yHKS	270	yHKS270							Flower Vine	839	839	100%	0.0	99%	KM384128				
yHKS	271	yHKS271							Grass	940	940	99%	0.0	99%	KM384129				
yHKS	334	yHKS334							Moss (by roots)	960	960	99%	0.0	99%	KM384130				
yHKS	387	yHKS387							Bark	958	958	99%	0.0	99%	KM384131				
yHKS	489	yHKS489							Bark (Green Growth)	930	930	100%	0.0	99%	KM384132				
yHKS	492	yHKS492							Bark	955	955	100%	0.0	100%	KM384133				
yHRM	24	yHRM24							Soil	955	955	100%	0.0	100%	KM384134				
yHRM	30	yHRM30							Soil	942	942	100%	0.0	99%	KM384135				
yHRM	31	yHRM31							Soil	944	944	99%	0.0	100%	KM384136				
yHRM	33	yHRM33							Soil	823	823	99%	0.0	100%	KM384137				
yHRM	34	yHRM34							Soil	942	942	100%	0.0	99%	KM384138				
yHRM	36	yHRM36							Soil	946	946	100%	0.0	99%	KM384139				
yHRM	37	yHRM37							Soil	955	955	100%	0.0	100%	KM384140				
yHRM	39	yHRM39							Soil	955	955	100%	0.0	100%	KM384141				
yHRM	42	yHRM42							Soil	955	955	100%	0.0	100%	KM384142				
yHRM	44	yHRM44							Soil	953	953	100%	0.0	100%	KM384143				
yHRM	46	yHRM46							Moss	957	957	100%	0.0	100%	KM384144				
yHRM	57	yHRM57							Soil	944	944	100%	0.0	99%	KM384145				
yHKS	36	yHKS36							Bark	984	984	99%	0.0	99%	KM384146				
yHKS	77	yHKS77							Bark	930	930	100%	0.0	99%	KM384147				
yHKS	123	yHKS123							Soil	971	971	100%	0.0	99%	KM384148				
yHAB	172	yHAB172							Soil	1014	1014	100%	0.0	100%	KM384149				
yHKS	435	yHKS435							Bark (White/grey growth)	1021	1021	100%	0.0	100%	KM384150				
yHKS	436	yHKS436							Soil	1020	1020	100%	0.0	100%	KM384151				
yHKS	452	yHKS452							Bark	1007	1007	100%	0.0	99%	KM384152				
yHKS	453	yHKS453							Soil	1002	1002	100%	0.0	99%	KM384153				
yHKS	434	yHKS434							Bark (White/grey growth)	1012	1012	100%	0.0	99%	KM384154				
yHKS	27	yHKS27							Bark	975	975	99%	0.0	100%	KM384155				
yHKS	28	yHKS28							Bark	958	958	100%	0.0	100%	KM384156				
yHKS	493	yHKS493							Bark	962	962	100%	0.0	99%	KM384157				
yHKS	364	yHKS364							Fungal (Woodlike) growth   	755	755	100%	0.0	99%	KM384158				
yHKS	395	yHKS395							Bark	771	774	100%	0.0	99%	KM384159				
yHKS	31	yHKS31							 Leaves	1157	1157	99%	0.0	99%	KM384160				
yHKS	370	yHKS370							Bark	807	807	99%	0.0	100%	KM384161				
yHKS	427	yHKS427							Bark	800	800	100%	0.0	100%	KM384162				
yHRM	60	yHRM60							Soil	778	778	100%	0.0	100%	KM384163				
yHAB	173	yHAB173							Soil	1187	1187	100%	0.0	100%	KM384164				
yHAB	182	yHAB182							Raspberries	893	893	100%	0.0	100%	KM384165				
yHAB	217	yHAB217							Raspberries	879	879	100%	0.0	100%	KM384166				
yHAB	226	yHAB226							Raspberries	890	890	100%	5.00E-134	99%	KM384167				
yHKS	53	yHKS53							 Leaves	886	886	100%	0.0	100%	KM384168				
yHKS	362	yHKS362							Soil	899	899	100%	0.0	100%	KM384169				
yHRM	17	yHRM17							Soil	693	693	100%	0.0	100%	KM384170				
yHKS	3	yHKS3							Bark	780	780	100%	0.0	99%	KM384171				
yHKS	325	yHKS325							Bark	841	841	100%	0.0	99%	KM384172				
yHKS	329	yHKS329							Rotting Bark	847	847	100%	0.0	99%	KM384173				
yHKS	330	yHKS330							Rotting Bark	910	910	100%	0.0	99%	KM384174				
yHKS	347	yHKS347							Soil	1081	1081	99%	0.0	99%	KM384175				
yHKS	361	yHKS361							Rotting Bark	1153	1153	99%	0.0	99%	KM384176				
yHKS	371	yHKS371							Bark	1169	1169	99%	0.0	99%	KM384177				
yHKS	386	yHKS386							Bark	834	834	100%	0.0	99%	KM384178				
yHKS	415	yHKS415							Soil	989	989	100%	0.0	99%	KM384179				
yHKS	430	yHKS430							Rotting Bark	1189	1189	99%	0.0	99%	KM384180				
yHRM	63	yHRM63							Leaves	805	805	100%	0.0	99%	KM384181				
yHKS	124	yHKS124							Soil	850	850	100%	0.0	100%	KM384182				
yHRM	13	yHRM13							Soil	1000	1000	100%	0.0	99%	KM384183				
yHKS	250	yHKS250							Soil	1086	1086	100%	0.0	99%	KM384184				
yHKS	251	yHKS251							Soil	1065	1065	100%	0.0	99%	KM384185				
yHRM	51	yHRM51							Soil	1103	1103	100%	0.0	99%	KM384186				
yHRM	52	yHRM52							Soil	991	991	100%	0.0	99%	KM384187				
yHRM	53	yHRM53							Soil	955	955	100%	0.0	99%	KM384188				
yHBJ	22	yHBJ22							Mushroom	1063	1063	100%	0.0	99%	KM384189				
yHKS	4	yHKS4							 Leaves	1106	1106	100%	0.0	99%	KM384190				
yHKS	49	yHKS49							Bark	1150	1150	100%	0.0	99%	KM384191				
yHKS	50	yHKS50							Soil	1083	1083	100%	0.0	99%	KM384192				
yHKS	308	yHKS308							Acorns  	1128	1128	100%	0.0	99%	KM384193				
yHKS	346	yHKS346							Soil	1128	1128	100%	0.0	99%	KM384194				
yHKS	348	yHKS348							Acorns  	991	991	100%	0.0	99%	KM384195				
yHKS	358	yHKS358							Bark	984	984	100%	0.0	99%	KM384196				
yHKS	367	yHKS367							Bark	901	901	100%	0.0	99%	KM384197				
yHKS	374	yHKS374							Acorns	1096	1096	99%	0.0	99%	KM384198				
yHKS	378	yHKS378							Soil	1160	1160	100%	0.0	99%	KM384199				
yHKS	379	yHKS379							"Pink stemed, white berries"	1160	1160	98%	0.0	99%	KM384200				
yHKS	384	yHKS384							Bark	1169	1169	99%	0.0	99%	KM384201				
yHKS	385	yHKS385							Bark	1083	1083	99%	0.0	99%	KM384202				
yHKS	392	yHKS392							Bark	953	953	99%	0.0	99%	KM384203				
yHKS	396	yHKS396							Rotting Bark	1063	1063	99%	0.0	99%	KM384204				
yHKS	404	yHKS404							Acorns	1079	1079	98%	0.0	99%	KM384205				
yHKS	405	yHKS405							Soil	1135	1135	100%	0.0	99%	KM384206				
yHKS	407	yHKS407							Soil	1083	1083	99%	0.0	99%	KM384207				
yHKS	408	yHKS408							Soil	836	836	100%	0.0	99%	KM384208				
yHKS	423	yHKS423							Soil	1077	1077	100%	0.0	99%	KM384209				
yHKS	424	yHKS424							Acorns   	1141	1141	100%	0.0	99%	KM384210				
yHKS	429	yHKS429							Rotting Bark	1159	1159	99%	0.0	99%	KM384211				
yHKS	1	yHKS1							Leaves	1128	1128	99%	0.0	99%	KM384212				
yHKS	6	yHKS6							Soil	1151	1151	100%	0.0	99%	KM384213				
yHKS	12	yHKS12							Soil	1085	1085	100%	0.0	100%	KM384214				
yHKS	13	yHKS13							Bark	1178	1605	100%	0.0	99%	KM384215				
yHKS	14	yHKS14							Bark	1113	1113	99%	0.0	99%	KM384216				
yHKS	16	yHKS16							Bark	1090	1090	100%	0.0	100%	KM384217				
yHKS	17	yHKS17							Soil	1088	1088	100%	0.0	100%	KM384218				
yHKS	130	yHKS130							Soil	1150	1150	98%	0.0	99%	KM384219				
yHKS	146	yHKS146							Sand with Grass	1168	1168	100%	0.0	99%	KM384220				
yHKS	149	yHKS149							Soil	1151	1151	100%	0.0	99%	KM384221				
yHKS	150	yHKS150							Bark	1166	1166	100%	0.0	99%	KM384222				
yHKS	164	yHKS164							Bark	1162	1162	98%	0.0	99%	KM384223				
yHKS	169	yHKS169							Soil	1159	1159	100%	0.0	99%	KM384224				
yHKS	176	yHKS176							 Sand	1155	1155	100%	0.0	99%	KM384225				
yHKS	179	yHKS179							Sand	1155	1155	99%	0.0	99%	KM384226				
yHKS	186	yHKS186							Bark	1085	1085	100%	0.0	100%	KM384227				
yHKS	219	yHKS219							 Leaves	1157	1157	100%	0.0	99%	KM384228				
yHKS	227	yHKS227							Soil	1151	1151	100%	0.0	99%	KM384229				
yHKS	233	yHKS233							 Leaves	1157	1157	100%	0.0	99%	KM384230				
yHKS	234	yHKS234							Soil	1159	1159	100%	0.0	99%	KM384231				
yHKS	266	yHKS266							Soil	1166	1166	100%	0.0	99%	KM384232				
yHKS	342	yHKS342							Bark	935	935	100%	0.0	100%	KM384233				
yHKS	422	yHKS422							Soil	1095	1095	100%	0.0	99%	KM384234				
yHKS	42	yHKS42							Bark	1133	1133	100%	0.0	100%	KM384235				
yHKS	43	yHKS43							Bark	1177	1177	100%	0.0	100%	KM384236				
yHKS	46	yHKS46							Bark	1092	1092	100%	0.0	100%	KM384237				
yHKS	108	yHKS108							Bark	1148	1148	100%	0.0	99%	KM384238				
yHAB	240	yHAB240							Soil	457	457	100%	2.00E-125	95%	KM384057	KM408123			
yHAB	244	yHAB244							Rotting Bark	461	461	100%	2.00E-126	95%	KM384058	KM408124			
yHAB	239T	yHAB239T							Soil	457	457	99%	2.00E-125	95%	KM384056	KM408122			
yHKS	286	yHKS286							Bark	710	710	94%	0.0	94%	KM384103	KM408128			
yHKS	303	yHKS303							Bark	708	708	96%	0.0	93%	KM384106	KM408129			
yHKS	285T	yHKS285T							 Leaves	616	616	100%	7.00E-173	93%	KM384102	KM408130			
yHKS	256T	yHKS256T							Larvae  	735	735	99%	0.0	93%	KM384101	KM408127			
yHBJ	20	yHBJ20							Soil	931	931	100%	0.0	100%	KM384239				
yHKS	2	yHKS2							Bark	993	993	100%	0.0	100%	KM384240				
yHKS	60	yHKS60							Soil	1036	1036	100%	0.0	99%	KM384241				
yHKS	143	yHKS143							Bark	1043	1043	100%	0.0	99%	KM384242				
yHKS	163	yHKS163							Bark	1086	1086	100%	0.0	100%	KM384243				
yHKS	180	yHKS180							Sand	1077	1077	100%	0.0	100%	KM384244				
yHRM	72	yHRM72							Soil	1038	1038	100%	0.0	99%	KM384245				
yHAB	193	yHAB193							Mushroom	1090	1090	100%	0.0	100%	KM384246				
yHKS	82	yHKS82							Bark	1103	1103	100%	0.0	100%	KM384247				
yHKS	84	yHKS84							Bark	1076	1076	100%	0.0	100%	KM384248				
yHKS	85	yHKS85							Bark	1076	1076	100%	0.0	100%	KM384249				
yHKS	86	yHKS86							Bark	1092	1092	100%	0.0	99%	KM384250				
yHKS	88	yHKS88							 Leaves	1079	1079	100%	0.0	99%	KM384251				
yHKS	96	yHKS96							Soil	1072	1072	100%	0.0	99%	KM384252				
yHKS	100	yHKS100							Bark	1101	1101	100%	0.0	99%	KM384253				
yHKS	101	yHKS101							Bark	1036	1036	100%	0.0	99%	KM384254				
yHKS	102	yHKS102							 Leaves	874	874	98%	0.0	99%	KM384255				
yHKS	103	yHKS103							Bark	877	877	100%	0.0	99%	KM384256				
yHKS	105	yHKS105							Bark	1002	1002	100%	0.0	100%	KM384257				
yHKS	135	yHKS135							Bark	1097	1097	100%	0.0	99%	KM384258				
yHKS	245	yHKS245							Bark	1112	1112	99%	0.0	100%	KM384259				
yHKS	247	yHKS247							Soil	1119	1119	99%	0.0	100%	KM384260				
yHKS	258	yHKS258							Soil	1103	1103	100%	0.0	99%	KM384261				
yHKS	309	yHKS309							Soil	1081	1081	100%	0.0	99%	KM384262				
yHRM	2	yHRM2							Soil	796	796	99%	0.0	100%	KM384263				
yHRM	43	yHRM43							Soil	1077	1077	100%	0.0	100%	KM384264				
yHBJ	3	yHBJ3							Mushroom	993	3709	100%	0.0	99%	KM384265				
yHBJ	8	yHBJ8							Gall (Dead)	1009	3748	100%	0.0	99%	KM384266				
yHBJ	10	yHBJ10							Mushroom	715	2598	100%	0.0	99%	KM384267				
yHBJ	13	yHBJ13							Mushroom	1056	3968	100%	0.0	99%	KM384268				
yHBJ	14	yHBJ14							Mushroom	969	969	100%	0.0	99%	KM384269				
yHBJ	19	yHBJ19							Mushroom with insects	1045	3925	100%	0.0	99%	KM384270				
yHKS	7	yHKS7							 Leaves	1070	4012	100%	0.0	99%	KM384271				
yHKS	11	yHKS11							Bark	940	940	99%	0.0	100%	KM384272				
yHKS	153	yHKS153							Bark	982	3658	100%	0.0	99%	KM384273				
yHKS	154	yHKS154							Sand with Grass	994	3709	100%	0.0	99%	KM384274				
yHKS	156	yHKS156							Unknown	1077	4048	100%	0.0	99%	KM384275				
yHKS	162	yHKS162							Sand with Grass	1085	4078	100%	0.0	99%	KM384276				
yHKS	178	yHKS178							 Sand	1077	4048	100%	0.0	99%	KM384277				
yHKS	302	yHKS302							Bark	1059	3961	99%	0.0	99%	KM384278				
yHKS	323	yHKS323							Bark	1059	3990	100%	0.0	99%	KM384279				
yHKS	349	yHKS349							Acorns 	1065	5008	99%	0.0	99%	KM384280				
yHKS	409	yHKS409							Bark	1083	4077	99%	0.0	99%	KM384281				
yHKS	413	yHKS413							Bark	1079	4053	100%	0.0	99%	KM384282				
yHKS	428	yHKS428							Bark	1076	4042	99%	0.0	99%	KM384283				
yHKS	431	yHKS431							Leaves 	1054	3956	100%	0.0	99%	KM384284				
yHKS	433	yHKS433							White growth and Moss	1054	3954	100%	0.0	99%	KM384285				
yHKS	455	yHKS455							White growth and Moss	1034	3895	100%	0.0	99%	KM384286				
yHKS	471	yHKS471							White growth and Moss	1065	4005	100%	0.0	99%	KM384287				
yHRM	68	yHRM68							Soil	1072	4033	100%	0.0	99%	KM384288				
yHRM	76	yHRM76							Soil	1056	3963	100%	0.0	99%	KM384289				
yHAB	258	yHAB258							Sand	962	962	100%	0.0	100%	KM384290				
yHKS	280	yHKS280							Bark 	926	926	100%	0.0	99%	KM384291				
yHKS	283	yHKS283							 Leaves	928	928	100%	0.0	100%	KM384292				
yHBJ	15	yHBJ15							Rotting Mushroom	412	412	100%	6.00E-112	99%	KM384293				
yHKS	30	yHKS30							Bark	390	390	100%	7.00E-105	99%	KM384294				
yHKS	57	yHKS57							Soil	342	342	100%	3.00E-91	99%	KM384295				
yHKS	66	yHKS66							Bark	407	407	100%	3.00E-110	100%	KM384296				
yHKS	104	yHKS104							Soil	403	403	100%	1.00E-108	99%	KM384297				
yHKS	155	yHKS155							Bark	423	423	100%	1.00E-114	100%	KM384298				
yHKS	158	yHKS158							Bark 	399	399	100%	4.00E-108	99%	KM384299				
yHKS	159	yHKS159							Sand with Grass	401	401	100%	1.00E-108	100%	KM384300				
yHKS	160	yHKS160							Soil	324	324	100%	2.00E-85	99%	KM384301				
yHKS	167	yHKS167							Bark	412	412	100%	5.00E-112	99%	KM384302				
yHKS	173	yHKS173							Unknown	392	392	100%	5.00E-106	100%	KM384303				
yHKS	177	yHKS177							Fungal growth	408	408	100%	7.00E-111	99%	KM384304				
yHKS	181	yHKS181							Berries	390	390	100%	2.00E-105	100%	KM384305				
yHKS	184	yHKS184							Moss	414	414	100%	2.00E-112	100%	KM384306				
yHKS	190	yHKS190							Fungal growth 	417	417	100%	2.00E-113	100%	KM384307				
yHKS	198	yHKS198							Bark	430	430	100%	3.00E-117	100%	KM384308				
yHKS	230	yHKS230							Bark	405	405	100%	9.00E-110	100%	KM384309				
yHKS	238	yHKS238							 Flower vine	551	551	99%	1.00E-153	99%	KM384310				
yHRM	4	yHRM4							Soil	538	538	100%	9.00E-150	99%	KM384311				
yHKS	19	yHKS19							 Leaves	389	389	100%	7.00E-105	100%	KM384312				
yHKS	37	yHKS37							Bark	468	468	100%	1.00E-128	99%	KM384313				
yHKS	55	yHKS55							Soil	378	378	100%	5.00E-101	99%	KM384314				
yHKS	56	yHKS56							Soil	370	370	100%	7.00E-99	99%	KM384315				
yHKS	72	yHKS72							Soil	389	389	100%	7.00E-105	100%	KM384316				
yHKS	73	yHKS73							Soil	318	328	100%	9.00E-84	99%	KM384317				
yHKS	74	yHKS74							Bark	389	389	100%	7.00E-105	100%	KM384318				
yHKS	78	yHKS78							Bark	316	316	100%	4.00E-83	100%	KM384319				
yHKS	80	yHKS80							Soil	387	387	100%	3.00E-104	100%	KM384320				
yHKS	87	yHKS87							Bark	403	403	100%	3.00E-109	100%	KM384321				
yHKS	89	yHKS89							Soil	385	385	100%	9.00E-104	99%	KM384322				
yHKS	92	yHKS92							Bark	401	401	99%	1.00E-108	99%	KM384323				
yHKS	98	yHKS98							Bark	381	381	100%	1.00E-102	99%	KM384324				
yHKS	106	yHKS106							 Leaves	403	403	100%	3.00E-109	100%	KM384325				
yHKS	107	yHKS107							Bark	407	407	100%	3.00E-110	100%	KM384326				
yHKS	109	yHKS109							 Leaves	387	387	100%	8.00E-104	100%	KM384327				
yHKS	111	yHKS111							Bark	385	385	100%	3.00E-103	100%	KM384328				
yHKS	116	yHKS116							Bark	3585	385	100%	3.00E-103	99%	KM384329				
yHKS	148	yHKS148							Green Berries	387	387	100%	1.00E-103	100%	KM384330				
yHKS	151	yHKS151							Sand with Grass	389	389	100%	7.00E-105	100%	KM384331				
yHKS	191	yHKS191							Soil	338	338	100%	1.00E-89	99%	KM384332				
yHRM	1	yHRM1							Soil	390	390	100%	2.00E-105	100%	KM384334				
yHRM	56	yHRM56							Soil	390	390	100%	2.00E-105	100%	KM384333				
yHAB	175	yHAB175							Thistle	421	421	100%	1.00E-114	100%	KM384335				
yHAB	198	yHAB198							Raspberries	553	553	100%	4.00E-154	100%	KM384336				
yHAB	199	yHAB199							Thistle	535	535	100%	1.00E-148	100%	KM384337				
yHKS	161	yHKS161							Flower	434	434	100%	2.00E-118	100%	KM384338				
yHAB	181	yHAB181							Infected Leaves	423	423	100%	4.00E-115	100%	KM384339				
yHKS	222	yHKS222							Bark	414	414	100%	5.00E-112	98%	KM384340				
yHKS	231	yHKS231							Bark	553	553	100%	8.00E-154	98%	KM384341				
yHKS	264	yHKS264							Bark	551	551	100%	1.00E-153	98%	KM384342				
yHRM	65	yHRM65							Leaves	482	482	100%	5.00E-133	99%	KM384343				
yHKS	314	yHKS314							"Pink stemed, white berries"	964	964	100%	0.0	100%	KM384344				
yHKS	318	yHKS318							Soil	962	962	100%	0.0	100%	KM384345				
yHRM	6	yHRM6							Leaves	890	890	100%	0.0	100%	KM384346				
yHRM	7	yHRM7							Soil	962	962	100%	0.0	100%	KM384347				
yHRM	11	yHRM11							Leaves	949	949	100%	0.0	99%	KM384348				
yHRM	14	yHRM14							Leaves	962	962	100%	0.0	100%	KM384349				
yHRM	15	yHRM15							Leaves	955	955	100%	0.0	99%	KM384350				
yHRM	18	yHRM18							Leaves	944	944	100%	0.0	100%	KM384351				
yHRM	20	yHRM20							Leaves	957	957	100%	0.0	100%	KM384352				
yHRM	21	yHRM21							Leaves	958	958	100%	0.0	99%	KM384353				
yHKS	472	yHKS472							 Leaves	1086	3260	100%	0.0	99%	KM384354				
yHKS	473	yHKS473							Soil	1034	1034	100%	0.0	99%	KM384355				
yHKS	479	yHKS479							Soil	1034	1034	100%	0.0	100%	KM384356				
yHKS	64	yHKS64							Bark	850	850	100%	0.0	99%	KM384357				
yHAB	224	yHAB224							Soil	1002	1002	100%	0.0	99%	KM384358				
yHAB	228	yHAB228							Soil	1003	1003	100%	0.0	99%	KM384359				
yHAB	229	yHAB229							Soil	1002	1002	100%	0.0	99%	KM384360				
yHAB	231	yHAB231							Soil	1003	1003	100%	0.0	99%	KM384361				
yHAB	235	yHAB235							Soil	1003	1003	100%	0.0	99%	KM384362				
yHAB	236	yHAB236							Soil	1003	1003	100%	0.0	99%	KM384363				
yHAB	257	yHAB257							Sand	982	982	100%	0.0	99%	KM384364				
yHAB	264	yHAB264							Soil	982	982	100%	0.0	99%	KM384365				
yHKS	22	yHKS22							Bark	975	1203	100%	0.0	99%	KM384366				
yHKS	39	yHKS39							Soil	845	845	100%	0.0	99%	KM384367				
yHKS	41	yHKS41							Soil	1000	1000	99%	0.0	99%	KM384368				
yHKS	61	yHKS61							Bark	939	939	100%	0.0	99%	KM384369				
yHKS	62	yHKS62							Bark	1005	1005	100%	0.0	99%	KM384370				
yHKS	63	yHKS63							Bark	902	902	100%	0.0	99%	KM384371				
yHKS	65	yHKS65							Bark	1007	1007	100%	0.0	100%	KM384372				
yHKS	67	yHKS67							Bark	1003	1003	100%	0.0	99%	KM384373				
yHKS	68	yHKS68							Bark	993	993	100%	0.0	99%	KM384374				
