StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus
yHKS699	Yamadazyma mexicana	Yamadazyma	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#232	c	YHKS_#232	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS699	Yamadazyma mexicana	Saccharomycotina	Yamadazyma
yHKS700	Yamadazyma mexicana	Yamadazyma	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#233	a	YHKS_#233	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS700	Yamadazyma mexicana	Saccharomycotina	Yamadazyma
yHKS718	Yamadazyma mexicana	Yamadazyma	Ascomycota	47.441600, -87.878877	47.4416	-87.878877	Tree	Plant Matter	Pine Cone	NA	NA	NA	NA	Pinus	Pinus sp.	Pine	NA	NA	#249	a	YHKS_#249	10	Copper Harbor, Michigan (Estivant Pines Nature Sanctuary	Michigan	Chris Hittinger	TRUE	yHKS718	Yamadazyma mexicana	Saccharomycotina	Yamadazyma
yHRVM46	Yamadazyma mexicana	Yamadazyma	Ascomycota	46.482739, -86.671216	46.482739	-86.671216	Tree	Plant Matter	Plant Matter	NA	NA	NA	NA	Acer	Acer sp.	Maple	NA	NA	5CAHD2	a	YHRVM_5CAHD2	10	Grand Island, MI	Michigan	Chris Hittinger, Amanda Hulfachor 	TRUE	yHRVM46	Yamadazyma mexicana	Saccharomycotina	Yamadazyma
yHMJ29	Williopsis californica	Williopsis	Ascomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	25	a	YHMJ_25	22	decorah, IA ice caves	Iowa	Martin jarzyna	TRUE	yHMJ29	Barnettozyma californica	Saccharomycotina	Barnettozyma
yHMJ37	Williopsis californica	Williopsis	Ascomycota	43.312305, -91.781281 	43.312305	-91.781281	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	25	b	YHMJ_25	22	decorah, ia ice caves	Iowa	martin jarzyna	TRUE	yHMJ37	Barnettozyma californica	Saccharomycotina	Barnettozyma
yHKS578	Wickerhamomyces hampsirensis	Wickerhamomyces	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Unknown	Unknown	Unknown	NA	NA	#221	b	YHKS_#221	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS578	Wickerhamomyces hampsirensis	Saccharomycotina	Wickerhamomyces
yHKB306	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Plant	Plant Matter	Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT8	b	YHKB_RT8	30	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB306	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB307	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Plant	Plant Matter	Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT8	a	YHKB_RT8	30	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB307	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB315	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT7	a	YHKB_RT7	30	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB315	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB318	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass/Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT10	a	YHKB_RT10	30	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB318	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB335	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT7	a	YHKB_RT7	22	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB335	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB450	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass/Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT10	a	YHKB_RT10	10	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB450	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKS235	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#113	b	YHKS_#113	30	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS235	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKS497	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	47.855571, -121.971572	47.855571	-121.971572	Tree	Plant Matter	Seed	NA	NA	NA	NA	Rhododendron	Rhododendron sp.	Rhododendron sp.	NA	In Ivy Bed	#185	a	YHKS_#185	30	Monroe, WA	Washington	Emily Baker	TRUE	yHKS497	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKS515	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	47.855571, -121.971572	47.855571	-121.971572	Tree	Soil/Plant Matter	Duff	NA	NA	NA	NA	Ilex	Ilex sp.	Holly	NA	NA	#192	b	YHKS_#192	22	Monroe, WA	Washington	Emily Baker	TRUE	yHKS515	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKS560	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	60.476499, -150.330873	60.476499	-150.330873	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Moss	NA	#202	a	YHKS_#202	30	Kenai Wildlife Reserve, Alaska (Engineer Lake)	Alaska	Jacob Barnes	TRUE	yHKS560	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHMJ12	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	45.027429, -93.438540	45.027429	-93.43854	Tree	Plant Matter	Leaves/Bark	NA	NA	NA	NA	Prunus	Prunus cerasus	Cherry	NA	NA	1	a	YHMJ_1	22	french park, plymouth mn	Minnesota	martin jarzyna	TRUE	yHMJ12	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHMJ27	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	a	YHMJ_15	22	Decorah, IA ice caves	Iowa	martin jarzyna	TRUE	yHMJ27	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHMJ28	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.312305, -91.781281 	43.312305	-91.781281	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Populus	Populus deltoides	Eastern Cottonwood	Pinus	NA	15	b	YHMJ_15	22	Decorah, IA ice caves	Iowa	martin jarzyna	TRUE	yHMJ28	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL200	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.122028, -89.484072	43.122028	-89.484072	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Unknown	Unknown	Unknown	NA	NA	11	a	YHQL_11	30	Pheasant Branch Conservancy	Wisconsin	Sarah Wright	TRUE	yHQL200	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL224	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.122028, -89.484072	43.122028	-89.484072	Plant	Plant Matter	Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	12	a	YHQL_12	22	Pheasant Branch Conservancy	Wisconsin	Sarah Wright	TRUE	yHQL224	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL262	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	43.122028, -89.484072	43.122028	-89.484072	Plant	Plant Matter	Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	12	a	YHQL_12	10	Pheasant Branch Conservancy	Wisconsin	Sarah Wright	TRUE	yHQL262	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL343	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Miscellaneous	Wood	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	mulberry	AS#4	a	YHQL_AS#4	22	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL343	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL369	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Wood	NA	NA	NA	NA	Betula	Betula sp.	Unknown	Lilly of the Valley	birch/assoc w/ lilly of the valley	AS#14	a	YHQL_AS#14	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL369	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL370	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Plant Matter	Wood	NA	NA	NA	NA	Betula	Betula sp.	Unknown	Lilly of the Valley	birch/assoc w/ lilly of the valley	AS#14	b	YHQL_AS#14	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL370	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL377	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Plant	Plant Matter	Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	Bird	bird nest	AS#20	a	YHQL_AS#20	30	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL377	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHQL505	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Tree	Miscellaneous	Wood	NA	NA	NA	NA	Morus	Morus alba	White Mulberry	NA	mulberry	AS#4	a	YHQL_AS#4	10	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL505	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHRM12	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	NA	NA	NA	Tree	Soil	Soil	NA	NA	NA	NA	Acer	Acer negundo	Boxelder Maple	NA	NA	2.1	a	YHRM_2.1	22	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM12	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHRM29	Wickerhamomyces anomalus	Wickerhamomyces	Ascomycota	NA	NA	NA	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.10.	a	YHRM_1.10.	10	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM29	Wickerhamomyces anomalus	Saccharomycotina	Wickerhamomyces
yHKB356	Vishniacozyma dimennae	Vishniacozyma	Basidiomycota	47.2718,-88.4263	47.2718	-88.4263	Plant	Plant Matter	Plant Matter	NA	NA	NA	NA	Lycopodium	Lycopodium obscurum	Princess Pine	NA	NA	RW8	a	YHKB_RW8	22	Calumet, MI	Michigan	Russell Wrobel	TRUE	yHKB356	Vishniacozyma dimennae	Basidiomycota	Vishniacozyma
yHMJ553	Vanrija musci	Vanrija	Basidiomycota	43.762222, 71.669167	43.762222	-71.669167	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	c	YHMJ_58	22	New Hampshire	New Hampshire	C. T. Hittinger	TRUE	yHMJ553	Vanrija musci	Basidiomycota	Vanrija
yHQL226	Vanrija humicola	Vanrija	Basidiomycota	43.025855, -89.844325	43.025855	-89.844325	Tree	Plant Matter	Bark	NA	NA	NA	NA	Carya	Carya ovata	Shgbark Hickory	NA	NA	2	a	YHQL_2	30	Blue Mound State Park	Wisconsin	Sarah Wright	TRUE	yHQL226	Vanrija humicola	Basidiomycota	Vanrija
yHKB459	Tumularia aquatica	Tumularia	Ascomycota	47.1730,-88.4488	47.173	-88.4488	Tree	Plant Matter	Fruit	Thimbleberry	Rosaceae	Drupe	NA	Rubus	Rubus parviflorus	Thimbleberry	NA	NA	RW6	a	YHKB_RW6	10	Hungarian Falls, MI	Michigan	Russell Wrobel	TRUE	yHKB459	Dothiora oleae	Pezizomycotina	Dothiora
yHRVM106	Trichosporon xylopini	Trichosporon	Basidiomycota	37.505725, -76.398950	37.505725	-76.39895	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	15D3	a	YHRVM_15D3	10	Cobbs Creek, VA	Virginia	D. Leith Nye	TRUE	yHRVM106	Trichosporon xylopini	Basidiomycota	Trichosporon
yHQL286	Trichosporon porosum	Trichosporon	Basidiomycota	43.189523, -89.622457	43.189523	-89.622457	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus macrocarpa	Bur Oak	NA	NA	17	c	YHQL_17	10	Indian Lake County Park	Wisconsin	Sarah Wright	TRUE	yHQL286	Trichosporon porosum	Basidiomycota	Trichosporon
yHAB230	Trichosporon porosum	Trichosporon	Basidiomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	1.16	a	YHAB_1.16	10	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB230	Trichosporon porosum	Basidiomycota	Trichosporon
yHKB113	Trichosporon porosum	Trichosporon	Basidiomycota	44:-88	44	-88	Soil	Soil	Soil	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungi	NA	KBOCT8	a	YHKB_KBOCT8	22	Northeastern WI	Wisconsin	Bill Saucier	TRUE	yHKB113	Trichosporon porosum	Basidiomycota	Trichosporon
yHKB118	Trichosporon porosum	Trichosporon	Basidiomycota	44.3878:-71.1731	44.3878	-71.1731	Plant	Plant Matter	Leaves	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungus	NA	NH2	a	YHKB_NH2	22	Gorham, NH	New Hampshire	Beth Sargent	TRUE	yHKB118	Trichosporon porosum	Basidiomycota	Trichosporon
yHKB121	Trichosporon porosum	Trichosporon	Basidiomycota	44:-88	44	-88	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Populus	Populus tremuloides	American Aspen	NA	NA	KBOCT14	b	YHKB_KBOCT14	22	Northeastern WI	Wisconsin	Bill Saucier	TRUE	yHKB121	Trichosporon porosum	Basidiomycota	Trichosporon
yHKB122	Trichosporon porosum	Trichosporon	Basidiomycota	44:-88	44	-88	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	KBOCT3	a	YHKB_KBOCT3	22	Northeastern WI	Wisconsin	Bill Saucier	TRUE	yHKB122	Trichosporon porosum	Basidiomycota	Trichosporon
yHKB91	Trichosporon porosum	Trichosporon	Basidiomycota	44.3878:-71.1731	44.3878	-71.1731	Tree	Plant Matter	Bark	NA	NA	NA	Rotting	Unknown	Unknown	Unknown	NA	NA	NH10	b	YHKB_NH10	22	Gorham, NH	New Hampshire	Beth Sargent	TRUE	yHKB91	Trichosporon porosum	Basidiomycota	Trichosporon
yHKB99	Trichosporon porosum	Trichosporon	Basidiomycota	43.4316:-89.7372	43.4316	-89.7372	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	KBOCT18	b	YHKB_KBOCT18	22	Devil's Lake State Park (Baraboo, WI)	Wisconsin	Drew Doering	TRUE	yHKB99	Trichosporon porosum	Basidiomycota	Trichosporon
YHMH96	Trichosporon porosum	Trichosporon	Basidiomycota	42.945431, -89.584101	42.945431	-89.584101	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	d	YHMH_49	10	verona Town, Bud Jackson school Forest, WI	Wisconsin	Max Haase	TRUE	YHMH96	Trichosporon porosum	Basidiomycota	Trichosporon
yHQL270	Trichosporon porosum	Trichosporon	Basidiomycota	43.025855, -89.844325	43.025855	-89.844325	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	4	b	YHQL_4	10	Blue Mound State Park	Wisconsin	Sarah Wright	TRUE	yHQL270	Trichosporon porosum	Basidiomycota	Trichosporon
yHKB103	Trichosporon moniliiforme	Trichosporon	Basidiomycota	44:-88	44	-88	Tree	Soil	Humus	NA	NA	NA	NA	Pinus	Pinus strobus	White Pine	Fungi	NA	KBOCT10	b	YHKB_KBOCT10	22	Northeastern WI	Wisconsin	Bill Saucier	TRUE	yHKB103	Trichosporon moniliiforme	Basidiomycota	Trichosporon
yHKB314	Trichosporon japonicum	Trichosporon	Basidiomycota	31.7013,-90.3976	31.7013	-90.3976	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT19	a	YHKB_RT19	30	Wesson, MS	Mississippi	Kelly Buh	TRUE	yHKB314	Trichosporon japonicum	Basidiomycota	Trichosporon
yHKB17	Trichosporon asahii	Trichosporon	Basidiomycota	29.9403:-90.1207	29.9403	-90.1207	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	BFF1	a	YHKB_BFF1	30	New Orleans, LA (Tulane campus)	Louisiana	Katie Burjek	TRUE	yHKB17	Trichosporon asahii	Basidiomycota	Trichosporon
yHKS459	Tremella moriformis	Tremella	Basidiomycota	48.725722, -122.359948	48.725722	-122.359948	Tree	Plant Matter	Bark	NA	NA	NA	NA	Thuja	Thuja plicata	Pacific Redcedar	White/Grey Growth	NA	#153	a	YHKS_#153	22	Bellingham WA (Sudden Valley)	Washington	Mary B. O'Neill	TRUE	yHKS459	Tremella moriformis	Basidiomycota	Tremella
yHKS553	Tremella encephala	Tremella	Basidiomycota	60.691550, -151.289609	60.69155	-151.289609	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	#204	a	YHKS_#204	22	Nikiski, Alaska (Deer Creek)	Alaska	Jacob Barnes	TRUE	yHKS553	Tremella encephala	Basidiomycota	Tremella
yHQL207	Torulaspora microellipsoides	Torulaspora	Ascomycota	43.025855, -89.844325	43.025855	-89.844325	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus macrocarpa	Bur Oak	NA	NA	9	a	YHQL_9	22	Blue Mound State Park	Wisconsin	Sarah Wright	TRUE	yHQL207	Torulaspora microellipsoides	Saccharomycotina	Torulaspora
yHQL220	Torulaspora microellipsoides	Torulaspora	Ascomycota	43.025855, -89.844325	43.025855	-89.844325	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	6	a	YHQL_6	22	Blue Mound State Park	Wisconsin	Sarah Wright	TRUE	yHQL220	Torulaspora microellipsoides	Saccharomycotina	Torulaspora
yHQL319	Torulaspora delbrueckii	Torulaspora	Ascomycota	39.871665, -79.492928	39.871665	-79.492928	Tree	Plant Matter	Needles	NA	NA	NA	Rotting	Pinus	Pinus sp.	Pine	NA	NA	QL#13	c	YHQL_QL#13	22	Ohiopyle, PA	Pennsylvania	Scott Zasadil	TRUE	yHQL319	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHAB188	Torulaspora delbrueckii	Torulaspora	Ascomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Soil	Soil	NA	NA	NA	NA	Tsuga	Tsuga sp.	Hemlock	NA	NA	2.22	a	YHAB_2.22	22	Tahquamenon falls, MI, lower falls, Island	Michigan	ABH/CTH	TRUE	yHAB188	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHAB200	Torulaspora delbrueckii	Torulaspora	Ascomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	3.4	a	YHAB_3.4	30	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB200	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHAB207	Torulaspora delbrueckii	Torulaspora	Ascomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Soil	Soil	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	2.9	a	YHAB_2.9	30	Tahquamenon Falls, MI, Upper Falls	Michigan	ABH/CTH	TRUE	yHAB207	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
yHKB150	Torulaspora delbrueckii	Torulaspora	Ascomycota	36.0999,-80.2442	36.0999	-80.2442	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus alba	White Oak	NA	NA	S2	a	YHKB_S2	22	Winston-Salem, NC	North Carolina	Leslie Shown	TRUE	yHKB150	Torulaspora delbrueckii	Saccharomycotina	Torulaspora
