StrainID	Species_Old	Genus_Old	Phylum	GPS	Lat	Long	Associated	General	Specific	Fruits	Fruit.Family	Fruit.Type	Rotting	Plant.Genus	Plant.Species	Common.Name	Other.Associations	Notes	Set	Morpho	SetID	IsoTemp	Specific.Location	State	Collected.By	X	X.1	Species	Subphylum	Genus
yHQL128	Pichia onychis	Pichia	Ascomycota	46.122696, -123.927882	46.122696	-123.927882	Plant	Soil	Soil	NA	NA	NA	NA	Festuca	Festuca rubra	Native Red Fescue	NA	NA	OR 15	a	YHQL_OR 15	10	Camp Rilea, OR	Oregon	Quinn Langdon	TRUE	yHQL128	Wickerhamomyces onychis	Saccharomycotina	Wickerhamomyces
yHQL22	Pichia onychis	Pichia	Ascomycota	44.703604, -123.202259	44.703604	-123.202259	Tree	Soil	Soil	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	OR 8.2	a	YHQL_OR 8.2	30	Camp Adair, OR	Oregon	Quinn Langdon	TRUE	yHQL22	Wickerhamomyces onychis	Saccharomycotina	Wickerhamomyces
yHRM54	Pichia onychis	Pichia	Ascomycota	NA	NA	NA	Plant	Plant Matter	Grass	NA	NA	NA	NA	NA	NA	NA	NA	NA	55	a	YHRM_55	22	Camp Rilea, Oregon	Oregon	Quinn	TRUE	yHRM54	Wickerhamomyces onychis	Saccharomycotina	Wickerhamomyces
yHKB119	Pichia galeiformis	Pichia	Ascomycota	41.795027:-88.021231	41.795027	-88.021231	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	NA	NA	NA	NA	Sequenced ITS1/4 + D1D2 together.	DG3	a	YHKB_DG3	22	Downers Grove, IL (home backyard)	Illinois	Kelly Buh	TRUE	yHKB119	Pichia galeiformis	Saccharomycotina	Pichia
yHQL412	Naganishia uzbekistanensis	Naganishia	Basidiomycota	36.312120, -116.213028	36.31212	-116.213028	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	soil under bush w/ twigs	KS#310	a	YHQL_KS#310	30	Ash Meadows Rd, Pahrump, NV 89060	Nevada	Christina Kuang	TRUE	yHQL412	Naganishia albida	Basidiomycota	Naganishia
yHQL420	Naganishia uzbekistanensis	Naganishia	Basidiomycota	36.636085, -117.032716	36.636085	-117.032716	Plant	Plant Matter	Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	Mainly wits, almost no soil, holes in bag	KS#309	a	YHQL_KS#309	22	Death Valley (Enterance), NV	Nevada	Christina Kuang	TRUE	yHQL420	Naganishia albida	Basidiomycota	Naganishia
yHQL422	Naganishia uzbekistanensis	Naganishia	Basidiomycota	36.636085, -117.032716	36.636085	-117.032716	Plant	Plant Matter	Twigs	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	Mainly wits, almost no soil, holes in bag	KS#309	b	YHQL_KS#309	22	Death Valley (Enterance), NV	Nevada	Christina Kuang	TRUE	yHQL422	Naganishia albida	Basidiomycota	Naganishia
yHKS68	Mrakiella sp.	Mrakiella	Basidiomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Plant Matter	Bark	NA	NA	NA	NA	Cercis	Cercis canadensis	Eastern Redbud	NA	NA	#40	a	YHKS_#40	10	Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS68	Mrakia frigida	Basidiomycota	Mrakia
yHKS81	Mrakiella sp.	Mrakiella	Basidiomycota	45.084920, -87.586688	45.08492	-87.586688	Tree	Plant Matter	Bark	NA	NA	NA	NA	Cercis	Cercis canadensis	Eastern Redbud	NA	NA	#40	a	YHKS_#40	10	Marinette, WI (Red Arrow Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS81	Mrakia frigida	Basidiomycota	Mrakia
yHMJ66	Mrakia sp.	Mrakia	Basidiomycota	45.027429, -93.438540	45.027429	-93.43854	Tree	Plant Matter	Bark	NA	NA	NA	NA	Populus	Populus balsamifera	Balsam Poplar	Fungi	NA	8	b	YHMJ_8	4	french park, plymouth mn	Minnesota	Martin Jarzyna	TRUE	yHMJ66	Mrakia frigida	Basidiomycota	Mrakia
yHMJ69	Mrakia sp.	Mrakia	Basidiomycota	44.997282, -93.354812 	44.997282	-93.354812	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	a	YHMJ_10	4	bassett creek, golden valley mn	Minnesota	Martin Jarzyna	TRUE	yHMJ69	Mrakia frigida	Basidiomycota	Mrakia
yHKS65	Mrakia frigida	Mrakia	Basidiomycota	44.560833, -88.093161	44.560833	-88.093161	Tree	Plant Matter	Bark	NA	NA	NA	NA	Quercus	Quercus sp.	Oak	NA	NA	#31	a	YHKS_#31	10	Howard, WI (Meadowbrook Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS65	Mrakia frigida	Basidiomycota	Mrakia
yHRM22	Mrakia frigida	Mrakia	Basidiomycota	NA	NA	NA	Plant	Plant Matter	Leaves	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.13	b	YHRM_1.13	10	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM22	Mrakia frigida	Basidiomycota	Mrakia
yHRM32	Mrakia frigida	Mrakia	Basidiomycota	NA	NA	NA	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18	b	YHRM_1.18	10	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM32	Mrakia frigida	Basidiomycota	Mrakia
yHRM47	Mrakia frigida	Mrakia	Basidiomycota	NA	NA	NA	Tree	Soil	Soil	NA	NA	NA	NA	Ulmus	Ulmus sp.	Elm	NA	NA	1.19	b	YHRM_1.19	10	Picnic Point, Madison WI	Wisconsin	RM	TRUE	yHRM47	Mrakia frigida	Basidiomycota	Mrakia
yHKS285	Kwoniella betulae	Kwoniella	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Leaves	NA	NA	NA	NA	Betula	Betula alleghaniensis	Yellow Birch	NA	NA	#98	a	YHKS_#98	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS285	Kwoniella betulae	Basidiomycota	Kwoniella
yHKS286	Kwoniella betulae	Kwoniella	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#100	a	YHKS_#100	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS286	Kwoniella betulae	Basidiomycota	Kwoniella
yHKS303	Kwoniella betulae	Kwoniella	Basidiomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Plant Matter	Bark	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	NA	NA	#99	a	YHKS_#99	10	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS303	Kwoniella betulae	Basidiomycota	Kwoniella
yHKS250	Kazachstania kunashirensis	Kazachstania	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Populus	Populus tremuloides	American Aspen	NA	NA	#109	a	YHKS_#109	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS250	Kazachstania kunashirensis	Saccharomycotina	Kazachstania
yHKS251	Kazachstania kunashirensis	Kazachstania	Ascomycota	43.567496, -72.289615	43.567496	-72.289615	Tree	Soil	Soil	NA	NA	NA	NA	Betula	Betula populifolia	Grey Birch	NA	NA	#110	a	YHKS_#110	22	272 Ladieu Rd. Plainfield, NH	New Hampshire	Alysha Heimberg	TRUE	yHKS251	Kazachstania kunashirensis	Saccharomycotina	Kazachstania
yHQL501	Kazachstania kunashirensis	Kazachstania	Ascomycota	40.382764, -80.048519	40.382764	-80.048519	Tree	Soil	Soil	NA	NA	NA	NA	Cornus	Cornus sp.	Dogwood	NA	Soil from around dogwood, backyard of residence	KS#294	a	YHQL_KS#294	10	126 Academy ave, Pittsburgh, PA 15228	Pennsylvania	Zasadil	TRUE	yHQL501	Kazachstania kunashirensis	Saccharomycotina	Kazachstania
yHKS756	Kazachstania exigua	Kazachstania	Ascomycota	36.023225, -80.303844	36.023225	-80.303844	Tree	Soil	Sand	NA	NA	NA	NA	Quercus	Quercus prinus	Chestnut Oak	NA	NA	#261	a	YHKS_#261	22	2646 Evans Rd, Winston-Salem, NC (27127)	North Carolina	Leslie Shown	TRUE	yHKS756	Kazachstania serrabonitensis	Saccharomycotina	Kazachstania
yHKS764	Kazachstania bulderi	Kazachstania	Ascomycota	36.023225, -80.303844	36.023225	-80.303844	Tree	Soil	Sand	NA	NA	NA	NA	Acer	Acer rubrum	Red Maple	NA	NA	#265	a	YHKS_#265	22	2654 Evans Rd, Winston-Salem, NC (27127)	North Carolina	Leslie Shown	TRUE	yHKS764	Kazachstania serrabonitensis	Saccharomycotina	Kazachstania
yHKS767	Kazachstania bulderi	Kazachstania	Ascomycota	36.023225, -80.303844	36.023225	-80.303844	Tree	Soil	Sand	NA	NA	NA	NA	Carya	Carya glabra	Pignit Hickory	NA	NA	#268	a	YHKS_#268	22	2657 Evans Rd, Winston-Salem, NC (27127)	North Carolina	Leslie Shown	TRUE	yHKS767	Kazachstania serrabonitensis	Saccharomycotina	Kazachstania
yHKS769	Kazachstania bulderi	Kazachstania	Ascomycota	36.023225, -80.303844	36.023225	-80.303844	Tree	Soil	Sand	NA	NA	NA	NA	Juniperus	Juniperus virginiana	Eastern Red Cedar	NA	NA	#270	a	YHKS_#270	22	2659 Evans Rd, Winston-Salem, NC (27127)	North Carolina	Leslie Shown	TRUE	yHKS769	Kazachstania serrabonitensis	Saccharomycotina	Kazachstania
yHKB396	Coniochaeta ligniaria	Coniochaeta	Ascomycota	41.8089,-88.0112	41.8089	-88.0112	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	NA	NA	NA	NA	NA	DG3	a	YHKB_DG3	4	Downers Grove, IL	Illinois	Kelly Buh	TRUE	yHKB396	Coniochaeta ligniaria	Pezizomycotina	Coniochaeta
yHQL293	Coniochaeta ligniaria	Coniochaeta	Ascomycota	45.386820, -110.681776	45.38682	-110.681776	Tree	Plant Matter	Bark	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	QL#8	a	YHQL_QL#8	30	Pray, MT	Montana	Erik Jessen and Erica Macke	TRUE	yHQL293	Coniochaeta ligniaria	Pezizomycotina	Coniochaeta
yHQL313	Candida vartiovaarae	Candida	Ascomycota	45.182652, -110.618510	45.182652	-110.61851	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	ground around lakeshore	QL#5	a	YHQL_QL#5	22	Twin lakes Gallaterin National Forest, MT	Montana	Erik Jessen and Erica Macke	TRUE	yHQL313	Candida vartiovaarae	Saccharomycotina	Candida
yHQL424	Candida vartiovaarae	Candida	Ascomycota	45.182652, -110.618510	45.182652	-110.61851	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	QL#5	a	YHQL_QL#5	10	Twin lakes Gallaterin National Forest, MT	Montana	Erik Jessen and Erica Macke	TRUE	yHQL424	Candida vartiovaarae	Saccharomycotina	Candida
yHQL490	Candida vartiovaarae	Candida	Ascomycota	37.883873, -87.557092	37.883873	-87.557092	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	QL#1	a	YHQL_QL#1	10	John James Audubon State Park Henderson, KY	Kentucky	Anna Kropornicka and Kurt Ehlert	TRUE	yHQL490	Candida vartiovaarae	Saccharomycotina	Candida
yHQL509	Candida vartiovaarae	Candida	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Soil	Soil	Soil	NA	NA	NA	NA	NA	NA	NA	NA	NA	AS#11	b	YHQL_AS#11	10	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL509	Candida vartiovaarae	Saccharomycotina	Candida
yHKB116	Candida tropicalis	Candida	Ascomycota	41.795027:-88.021231	41.795027	-88.021231	Soil	Soil/Plant Matter	Duff	NA	NA	NA	NA	NA	NA	NA	NA	NA	DG1	a	YHKB_DG1	22	Downers Grove, IL (home backyard)	Illinois	Kelly Buh	TRUE	yHKB116	Candida tropicalis	Saccharomycotina	Candida
yHKB300	Candida tropicalis	Candida	Ascomycota	40.0728,-94.1048	40.0728	-94.1048	Soil	Soil/Plant Matter	Soil/Grass	NA	NA	NA	NA	Unknown	Unknown	Unknown	NA	NA	RT7	b	YHKB_RT7	30	Pattonsburg, MO	Missouri	Kelly Buh	TRUE	yHKB300	Candida tropicalis	Saccharomycotina	Candida
yHQL347	Candida tropicalis	Candida	Ascomycota	42.013309, -89.890341	42.013309	-89.890341	Miscellaneous	Miscellaneous	Wood	NA	NA	NA	NA	Betula	Betula sp.	Birch	Plant	birch/assoc w/ lilly of the valley	AS#14	a	YHQL_AS#14	22	Chadwick, Illinois-Sheddan property	Illinois	Angela Sheddan	TRUE	yHQL347	Candida tropicalis	Saccharomycotina	Candida
yHRVM135	Candida tropicalis	Candida	Ascomycota	42.034808, -88.292849	42.034808	-88.292849	Tree	Plant Matter	Bark	NA	NA	NA	NA	Salix	Salix sp.	Weeping Willow	NA	NA	21D4-CS	a	YHRVM_21D4-CS	30	Elgin, IL	Illinois	Goose Island CS	TRUE	yHRVM135	Candida tropicalis	Saccharomycotina	Candida
yHQL119	Candida coipomensis	Candida	Ascomycota	44.703604, -123.202259	44.703604	-123.202259	Tree	Soil	Soil	NA	NA	NA	NA	Taxus	Taxus brevifolia	Pacific Yew	NA	NA	OR 7	a	YHQL_OR 7	10	Camp Adair, OR	Oregon	Quinn Langdon	TRUE	yHQL119	Candida coipomoensis	Saccharomycotina	Candida
yHQL148	Candida coipomensis	Candida	Ascomycota	44.703604, -123.202259	44.703604	-123.202259	Tree	Soil	Soil	NA	NA	NA	NA	Taxus	Taxus brevifolia	Pacific Yew	NA	NA	OR 7	c	YHQL_OR 7	10	Camp Adair, OR	Oregon	Quinn Langdon	TRUE	yHQL148	Candida coipomoensis	Saccharomycotina	Candida
yHRM58	Candida coipomensis	Candida	Ascomycota	NA	NA	NA	Tree	Soil	Soil	NA	NA	NA	NA	Taxus	Taxus brevifolia	Pacific Yew	NA	NA	48	a	YHRM_48	22	Corvallis, Oregon (Camp Adair)	Oregon	Quinn	TRUE	yHRM58	Candida coipomoensis	Saccharomycotina	Candida
yHAB179	Candida bolitotheri	Candida	Ascomycota	46.614039, -85.254133	46.614039	-85.254133	Tree	Plant Matter	Fruit	Raspberry	Rosaceae	Drupe	NA	Rubus	Rubus sp.	Raspberry	NA	NA	1.3	b	YHAB_1.3	22	Tahquamenon Falls, MI, Nature Trail	Michigan	ABH/CTH	TRUE	yHAB179	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHAB189	Candida bolitotheri	Candida	Ascomycota	45.717810, -86.669512	45.71781	-86.669512	Tree	Fungus	Fungus	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	Fungus	NA	3.6	a	YHAB_3.6	22	Fayette, MI	Michigan	ABH/CTH	TRUE	yHAB189	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHAB190	Candida bolitotheri	Candida	Ascomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Fungus	Fungus	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	Fungus	NA	2.18	a	YHAB_2.18	22	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB190	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHAB191	Candida bolitotheri	Candida	Ascomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Fungus	Fungus	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	Fungus	NA	2.5	a	YHAB_2.5	30	Tahquamenon falls, mi upper falls	Michigan	ABH/CTH	TRUE	yHAB191	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHAB195	Candida bolitotheri	Candida	Ascomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Fungus	Fungus	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	Fungus	NA	2.3	b	YHAB_2.3	30	Tahquamenon falls, mi upper falls	Michigan	ABH/CTH	TRUE	yHAB195	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHAB205	Candida bolitotheri	Candida	Ascomycota	46.603602, -85.206239	46.603602	-85.206239	Tree	Fungus	Fungus	NA	NA	NA	NA	Betula	Betula papyrifera	White Birch	Fungus	NA	2.18	a	YHAB_2.18	30	Tahquamenon Falls, MI, lower falls - Island	Michigan	ABH/CTH	TRUE	yHAB205	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHAB215	Candida bolitotheri	Candida	Ascomycota	46.601361, -85.190790	46.601361	-85.19079	Tree	Fungus	Fungus	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	Fungus	NA	2.5	a	YHAB_2.5	22	Tahquamenon falls, mi upper falls	Michigan	ABH/CTH	TRUE	yHAB215	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHKS316	Candida bolitotheri	Candida	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Fungus	Fungus	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	Fungus	NA	#130	b	YHKS_#130	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS316	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHKS355	Candida bolitotheri	Candida	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Fungus	Fungus	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	Fungus	NA	#130	b	YHKS_#130	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS355	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHKS380	Candida bolitotheri	Candida	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Fungus	Fungus	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	Fungus	NA	#130	a	YHKS_#130	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS380	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHKS381	Candida bolitotheri	Candida	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Fungus	Fungus	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	Fungus	NA	#130	b	YHKS_#130	10	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS381	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHKS609	Candida bolitotheri	Candida	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Fungus	Fungus	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	Fungus	NA	#236	b	YHKS_#236	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS609	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHQL133	Candida bolitotheri	Candida	Ascomycota	43.070035, -89.421173	43.070035	-89.421173	Tree	Plant Matter	Fruit	Pear	Rosaceae	Pome	NA	Pyrus	Pyrus sp.	NA	NA	NA	smiley3B	d	YHQL_smiley3B	22	local Madison, WI backyard	Wisconsin	S. Smead	TRUE	yHQL133	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHQL154	Candida bolitotheri	Candida	Ascomycota	46.525703, -86.671012	46.525703	-86.671012	Tree	Fungus	Fungus	NA	NA	NA	NA	Betula	Betula sp.	Birch	Fungus	NA	A&CH4	a	YHQL_A&CH4	10	Grand Island National Rec Area	Michigan	Amanda Hulfachor & Chris Hittinger	TRUE	yHQL154	Suhomyces bolitotheri	Saccharomycotina	Suhomyces
yHAB194	Candida boleticola	Candida	Ascomycota	46.614039, -85.254133	46.614039	-85.254133	Tree	Plant Matter	Leaves	NA	NA	NA	Diseased	Acer	Acer saccharum	Sugar Maple	Infected	NA	1.8	a	YHAB_1.8	30	Tahquamenon Falls, MI, Nature Trail	Michigan	ABH/CTH	TRUE	yHAB194	Candida boleticola	Saccharomycotina	Candida
yHKS317	Candida boleticola	Candida	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Plant Matter	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#131	b	YHKS_#131	30	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS317	Candida boleticola	Saccharomycotina	Candida
yHKS363	Candida boleticola	Candida	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Nut	Beech Nut	Fagaceae	Nut	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#129	a	YHKS_#129	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS363	Candida boleticola	Saccharomycotina	Candida
yHKS365	Candida boleticola	Candida	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Plant Matter	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#131	a	YHKS_#131	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS365	Candida boleticola	Saccharomycotina	Candida
yHKS607	Candida boleticola	Candida	Ascomycota	43.695741, -87.718414	43.695741	-87.718414	Tree	Plant Matter	Bark	NA	NA	NA	NA	Fagus	Fagus grandifolia	American Beech	NA	NA	#235	c	YHKS_#235	22	Sheboygan,WI (Indian Mound Park)	Wisconsin	Kayla Sylvester	TRUE	yHKS607	Candida boleticola	Saccharomycotina	Candida
yHKS665	Candida boleticola	Candida	Ascomycota	47.441600, -87.878877	47.4416	-87.878877	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungus	NA	#252	a	YHKS_#252	30	Copper Harbor, Michigan (Estivant Pines Nature Sanctuary	Michigan	Chris Hittinger	TRUE	yHKS665	Candida boleticola	Saccharomycotina	Candida
yHKS666	Candida boleticola	Candida	Ascomycota	47.441600, -87.878877	47.4416	-87.878877	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungus	NA	#252	b	YHKS_#252	30	Copper Harbor, Michigan (Estivant Pines Nature Sanctuary	Michigan	Chris Hittinger	TRUE	yHKS666	Candida boleticola	Saccharomycotina	Candida
yHKS667	Candida boleticola	Candida	Ascomycota	47.441600, -87.878877	47.4416	-87.878877	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Mushroom	Fungus	Looks like a squid	#253	a	YHKS_#253	30	Copper Harbor, Michigan (Estivant Pines Nature Sanctuary	Michigan	Chris Hittinger	TRUE	yHKS667	Candida boleticola	Saccharomycotina	Candida
yHQL159	Candida boleticola	Candida	Ascomycota	46.485556,-86.660833	46.485556	-86.660833	Tree	Plant Matter	Nut	Beech Nut	Fagaceae	Nut	NA	Fagus	Fagus sp.	Beech	NA	NA	A&CH22	b	YHQL_A&CH22	10	Grand Island National Rec Area:  46° 29 minutes eight seconds North 86° 39 minutes 39 seconds west	Michigan	Amanda Hulfachor & Chris Hittinger	TRUE	yHQL159	Candida boleticola	Saccharomycotina	Candida
yHQL160	Candida boleticola	Candida	Ascomycota	46.525703, -86.671012	46.525703	-86.671012	Fungus	Fungus	Fungus	NA	NA	NA	NA	Unknown	Unknown	Unknown	Fungus	NA	A&CH25	a	YHQL_A&CH25	10	Grand Island National Rec Area	Michigan	Amanda Hulfachor & Chris Hittinger	TRUE	yHQL160	Candida boleticola	Saccharomycotina	Candida
